"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"5471546161","455047","11863","15 Jun 2020 05:00","32:03","1923","34-9","34,9","Radiant","4 Zoomers","monkeys-forever, Legend, Husky, Noblewingz, Gunnar","PlusOne","Unknown, xuan, wij, @ChedDoto, deus"
"5471486717","454993","11863","15 Jun 2020 03:37","42:12","2532","25-47","25,47","Dire","Midas Club","Hyko, hFn, Duster, -murd0c, BL7K.Sexyfat","beastcoast","Chris Luck, Scofield, K1, Wisper , MoOz"
"5471436526","454993","11863","15 Jun 2020 02:23","43:56","2636","29-37","29,37","Dire","beastcoast","Accel, Chris Luck, K1, Wisper , MoOz","Midas Club","Hyko, hFn, Duster, -murd0c, BL7K.Sexyfat"
"5471378873","454945","11863","15 Jun 2020 12:57","51:56","3116","33-30","33,30","Dire","CR4ZY","MoonMeander, Aui_2000, Skiter, KheZu, bryle","business associates","Sneyking, Brax, EternaLEnVy, Moo, Fear"
"5471327742","454945","11863","14 Jun 2020 11:56","32:34","1954","14-23","14,23","Dire","CR4ZY","MoonMeander, Aui_2000, Skiter, KheZu, bryle","business associates","Sneyking, Brax, EternaLEnVy, Moo, Fear"
"5471229171","454894","11863","14 Jun 2020 10:17","59:08","3548","31-30","31,30","Dire","Quincy Crew","SVG, MSS, Lelis, YawaR, CCnC","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak"
"5471135598","454894","11863","14 Jun 2020 09:02","44:35","2675","32-32","32,32","Radiant","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak","Quincy Crew","SVG, MSS, Lelis, YawaR, CCnC"
"5470243940","454713","11863","14 Jun 2020 11:42","39:35","2375","22-43","22,43","Dire","Execration","Benhur, poop, Rr?, Palos, yaha","TNC Predator","March, kpii, Gabbi, TIMS, Armel"
"5470152441","454713","11863","14 Jun 2020 10:44","33:33","2013","39-12","39,12","Radiant","TNC Predator","March, kpii, Gabbi, TIMS, Armel","Execration","Benhur, poop, Rr?, Palos, yaha"
"5470054827","454690","11863","14 Jun 2020 09:36","24:13","1453","13-28","13,28","Dire","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Fnatic","iceiceice, Jabz, DJ, Moon, 23savage"
"5469952407","454690","11863","14 Jun 2020 08:34","32:32","1952","38-18","38,18","Radiant","BOOM Esports","Hyde, Fibroez, Khezcute, _NinetyHearT_, TeravisuParkur","Fnatic","iceiceice, Jabz, DJ, Moon, 23savage"
"5469870543","454675","11863","14 Jun 2020 07:19","32:39","1959","7-37","7,37","Dire","Cignal Ultra","Erice, Grimzx, Van, Abat.LFT, James","TNC Predator","March, kpii, Gabbi, TIMS, Armel"
"5469819032","454675","11863","14 Jun 2020 06:34","29:32","1772","8-27","8,27","Dire","Cignal Ultra","Erice, Grimzx, Van, Abat.LFT, James","TNC Predator","March, kpii, Gabbi, TIMS, Armel"
"5469702882","454655","11863","14 Jun 2020 04:43","33:49","2029","8-41","8,41","Dire","beastcoast","Chris Luck, Scofield, Wisper , MoOz, [sGs]kacha viejas de 26","business associates","Sneyking, Brax, EternaLEnVy, Moo, Fear"
"5469638129","454646","11863","14 Jun 2020 03:33","32:45","1965","11-49","11,49","Dire","beastcoast","Chris Luck, Scofield, Wisper , MoOz, [sGs]kacha viejas de 26","business associates","Sneyking, Brax, EternaLEnVy, Moo, Fear"
"5469590249","454622","11863","14 Jun 2020 02:28","22:42","1362","5-18","5,18","Dire","Thunder Predator","Leostyle, Kotaro, Matthew, Wu, Frank","Midas Club","Hyko, hFn, Duster, -murd0c, BL7K.Sexyfat"
"5469546443","454622","11863","14 Jun 2020 01:31","30:13","1813","5-35","5,35","Dire","Midas Club","Hyko, hFn, Duster, -murd0c, BL7K.Sexyfat","Thunder Predator","Leostyle, Kotaro, Matthew, Wu, Frank"
"5469498709","454605","11863","14 Jun 2020 12:28","28:12","1692","17-47","17,47","Dire","Plasma1337x VitaPLUR gum","G, cyg3n, pingu, ReM、ツ, bgod","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak"
"5469443952","454605","11863","13 Jun 2020 11:33","30:19","1819","31-9","31,9","Radiant","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak","Plasma1337x VitaPLUR gum","G, cyg3n, pingu, ReM、ツ, bgod"
"5469357386","454580","11863","13 Jun 2020 10:10","44:08","2648","31-43","31,43","Dire","4 Zoomers","monkeys-forever, Legend, Husky, Noblewingz, Gunnar","Evil Geniuses","Cr1t-, Arteezy, Fly, Ryoya, kitrak"
